date,CLOSE
2018-01-02,6332.2269
2018-01-03,6388.2533
2018-01-04,6417.535
2018-01-05,6417.2537
2018-01-08,6446.1818
2018-01-09,6445.7462
2018-01-10,6405.9395
2018-01-11,6425.9401
2018-01-12,6399.3737
2018-01-15,6253.3759
2018-01-16,6301.1327
2018-01-17,6267.4599
2018-01-18,6286.8007
2018-01-19,6272.38
2018-01-22,6347.6383
2018-01-23,6354.9978
2018-01-24,6394.2999
2018-01-25,6382.7165
2018-01-26,6383.6312
2018-01-29,6309.8836
2018-01-30,6313.442
2018-01-31,6189.3413
2018-02-01,5984.7428
2018-02-02,6004.8494
2018-02-05,5998.2236
2018-02-06,5704.2641
2018-02-07,5711.3322
2018-02-08,5766.4797
2018-02-09,5554.8974
2018-02-12,5699.0979
2018-02-13,5736.9505
2018-02-14,5754.8344
2018-02-22,5875.7272
2018-02-23,5897.6765
2018-02-26,6029.6795
2018-02-27,6010.5573
2018-02-28,6023.677
2018-03-01,6090.2247
2018-03-02,6056.3354
2018-03-05,6064.0983
2018-03-06,6145.5768
2018-03-07,6086.4874
2018-03-08,6131.5142
2018-03-09,6206.9754
2018-03-12,6295.7776
2018-03-13,6254.1457
2018-03-14,6189.317
2018-03-15,6180.1108
2018-03-16,6146.3058
2018-03-19,6153.8339
2018-03-20,6173.6984
2018-03-21,6129.2042
2018-03-22,6101.2276
2018-03-23,5787.1523
2018-03-26,5902.9588
2018-03-27,6034.775
2018-03-28,5973.3414
2018-03-29,6034.8572
2018-03-30,6114.7382
2018-04-02,6121.9642
2018-04-03,6059.7089
2018-04-04,6017.6863
2018-04-09,6025.6493
2018-04-10,6063.7423
2018-04-11,6086.6126
2018-04-12,6051.3346
2018-04-13,6027.1867
2018-04-16,6012.4053
2018-04-17,5890.8571
2018-04-18,5970.6577
2018-04-19,6004.7334
2018-04-20,5880.8359
2018-04-23,5823.9205
2018-04-24,5957.1927
2018-04-25,5959.422
2018-04-26,5847.9766
2018-04-27,5860.9836
2018-05-02,5855.3233
2018-05-03,5910.6058
2018-05-04,5909.2944
2018-05-07,6019.1409
2018-05-08,6041.8143
2018-05-09,6029.2329
2018-05-10,6040.5716
2018-05-11,5991.3424
2018-05-14,5967.5541
2018-05-15,6020.5697
2018-05-16,6004.0696
2018-05-17,5973.7785
2018-05-18,5995.1497
2018-05-21,6072.1991
2018-05-22,6092.9069
2018-05-23,6013.8472
2018-05-24,5992.6209
2018-05-25,5917.7978
2018-05-28,5891.2627
2018-05-29,5835.4456
2018-05-30,5682.5881
2018-05-31,5754.4746
2018-06-01,5685.1155
2018-06-04,5683.1486
2018-06-05,5779.0778
2018-06-06,5774.2575
2018-06-07,5738.0176
2018-06-08,5669.3031
2018-06-11,5632.3566
2018-06-12,5693.3461
2018-06-13,5607.0173
2018-06-14,5586.9314
2018-06-15,5483.9446
2018-06-19,5141.7095
2018-06-20,5198.3935
2018-06-21,5089.2522
2018-06-22,5160.1228
2018-06-25,5125.0333
2018-06-26,5160.2829
2018-06-27,5109.4975
2018-06-28,5055.1093
2018-06-29,5217.7643
2018-07-02,5138.7826
2018-07-03,5197.1313
2018-07-04,5121.3436
2018-07-05,4982.7627
2018-07-06,4996.6299
2018-07-09,5107.5507
2018-07-10,5136.5326
2018-07-11,5036.1565
2018-07-12,5172.5032
2018-07-13,5204.1855
